datetime,Open,High,Low,Close,Adj Close,Volume,datetime_2
22/11/2019,150.070007,150.300003,148.820007,149.589996,144.443161,15901800,22/11/2019
25/11/2019,150,151.350006,149.919998,151.229996,146.026794,22420900,25/11/2019
26/11/2019,151.360001,152.419998,151.320007,152.029999,146.79924,24620100,26/11/2019
27/11/2019,152.330002,152.5,151.520004,152.320007,147.079254,15184400,27/11/2019
29/11/2019,152.100006,152.300003,151.279999,151.380005,146.1716,11977300,29/11/2019
2/12/2019,151.809998,151.830002,148.320007,149.550003,144.404541,27418400,2/12/2019
3/12/2019,147.490005,149.429993,146.649994,149.309998,144.172836,24066000,3/12/2019
4/12/2019,150.139999,150.179993,149.199997,149.850006,144.694214,17574700,4/12/2019
5/12/2019,150.050003,150.320007,149.479996,149.929993,144.771469,17869100,5/12/2019
6/12/2019,150.990005,151.869995,150.270004,151.75,146.52887,16403500,6/12/2019
9/12/2019,151.070007,152.210007,150.910004,151.360001,146.152298,16687400,9/12/2019
10/12/2019,151.289993,151.889999,150.759995,151.130005,145.930191,16476100,10/12/2019
11/12/2019,151.539993,151.869995,150.330002,151.699997,146.480576,18856600,11/12/2019
12/12/2019,151.649994,153.440002,151.020004,153.240005,147.967606,24612100,12/12/2019
13/12/2019,153,154.889999,152.830002,154.529999,149.213226,23845400,13/12/2019
16/12/2019,155.110001,155.899994,154.820007,155.529999,150.178818,24144200,16/12/2019
17/12/2019,155.449997,155.710007,154.449997,154.690002,149.367737,25425600,17/12/2019
18/12/2019,154.300003,155.479996,154.179993,154.369995,149.058731,24129200,18/12/2019
19/12/2019,154,155.770004,153.75,155.710007,150.3526,24958900,19/12/2019
20/12/2019,157.350006,158.490005,156.289993,157.410004,151.994156,53477500,20/12/2019
23/12/2019,158.119995,158.119995,157.270004,157.410004,151.994156,17718200,23/12/2019
24/12/2019,157.479996,157.710007,157.119995,157.380005,151.965179,8989200,24/12/2019
26/12/2019,157.559998,158.729996,157.399994,158.669998,153.21077,14520600,26/12/2019
27/12/2019,159.449997,159.550003,158.220001,158.960007,153.490784,18412800,27/12/2019
30/12/2019,158.990005,159.020004,156.729996,157.589996,152.167938,16348400,30/12/2019
31/12/2019,156.770004,157.770004,156.449997,157.699997,152.274155,18369400,31/12/2019
2/01/2020,158.779999,160.729996,158.330002,160.619995,155.093643,22622100,2/01/2020
3/01/2020,158.320007,159.949997,158.059998,158.619995,153.162476,21116200,3/01/2020
6/01/2020,157.080002,159.100006,156.509995,159.029999,153.558365,20813700,6/01/2020
